Bezirk,1 Person,2 Personen,3 Personen,4 Personen,5 und mehr Personen
Lehel,0.634,0.217,0.082,0.05,0.018
Altstadt ,0.634,0.217,0.082,0.05,0.018
Ludwigsvorstadt,0.641,0.211,0.08,0.051,0.017
Isarvorstadt,0.641,0.211,0.08,0.051,0.017
Maxvorstadt,0.677,0.202,0.066,0.041,0.014
Schwabing West,0.607,0.229,0.085,0.058,0.021
Au Haidhausen,0.591,0.23,0.093,0.065,0.021
Sendling,0.602,0.233,0.09,0.054,0.021
Westpark,0.553,0.248,0.097,0.072,0.029
Schwanthalerhöhe,0.608,0.216,0.087,0.066,0.023
Neuhausen ,0.57,0.24,0.097,0.068,0.025
Nymphenburg,0.57,0.24,0.097,0.068,0.025
Moosach,0.505,0.267,0.112,0.082,0.034
Am Hart ,0.534,0.242,0.106,0.078,0.04
Milbertshofen,0.534,0.242,0.106,0.078,0.04
Milbertshofen-Am Hart,0.534,0.242,0.106,0.078,0.04
Schwabing ,0.549,0.241,0.1,0.075,0.035
Freimann,0.549,0.241,0.1,0.075,0.035
Schwabing - Freimann,0.549,0.241,0.1,0.075,0.035
Bogenhausen,0.508,0.262,0.111,0.085,0.034
Berg am Laim ,0.542,0.248,0.102,0.076,0.032
Trudering,0.413,0.276,0.138,0.123,0.051
 Riem,0.413,0.276,0.138,0.123,0.051
Trudering - Riem,0.413,0.276,0.138,0.123,0.051
Ramersdorf ,0.481,0.271,0.116,0.088,0.043
Perlach,0.481,0.271,0.116,0.088,0.043
Ramersdorf - Perlach,0.481,0.271,0.116,0.088,0.043
Obergiesing - Fasangarten,0.58,0.234,0.097,0.065,0.025
Untergiesing - Harlaching,0.586,0.233,0.094,0.066,0.021
Thalk. -Obers. -Forst. -Fürst. -Solln,0.507,0.271,0.11,0.082,0.03
Hadern,0.482,0.279,0.118,0.09,0.031
Pasing - Obermenzing,0.48,0.268,0.118,0.098,0.036
Aubing - Lochhausen - Langwied,0.413,0.29,0.137,0.11,0.051
Allach - Untermenzing,0.415,0.287,0.137,0.119,0.042
Lerchenau ,0.448,0.267,0.128,0.108,0.049
Hasenbergl-Lerchenau Ost,0.448,0.267,0.128,0.108,0.049
Hasenbergl,0.448,0.267,0.128,0.108,0.049
Feldmoching - Hasenbergl,0.448,0.267,0.128,0.108,0.049
Laim,0.587,0.239,0.09,0.061,0.022
